amcl,vo
"[-0.6020279920943025, -0.6131946747830386, -0.6228171867162271, -0.6337686869374984, -0.644888968669276, -0.6522051833620897, -0.6679005932831156, -0.6762477997681016, -0.683765843177905, -0.6925564125218138, -0.7019015798052037, -0.7140070486130518, -0.7208208363683544, -0.7299555213068252, -0.740929698724302, -0.7499295218945058, -0.7603452174547213, -0.7693290313606741, -0.7803373649901456, -0.7905153228997772, -0.8009334451792083, -0.8079864507191835, -0.8183577209915278, -0.8262490841492072, -0.8328410329020197, -0.842948365998774, -0.8503969034030547]","[-0.5632420778274536, -0.571398138999939, -0.5800612568855286, -0.5888349413871765, -0.5970112681388855, -0.6024698615074158, -0.6091633439064026, -0.617003858089447, -0.6252018809318542, -0.6306890249252319, -0.6361839771270752, -0.6366386413574219, -0.6511263251304626, -0.6589818596839905, -0.6645045876502991, -0.6712397336959839, -0.6762710213661194, -0.6850283741950989, -0.6986351609230042, -0.7069014310836792, -0.705581784248352, -0.7214438319206238, -0.7386518120765686, -0.7363685369491577, -0.7457628846168518, -0.7501649856567383, -0.7557845711708069, -0.7605453133583069, -0.7673401832580566]"
"[1.2022462514727958, 1.1933296505200588, 1.183854773652211, 1.1776169796406972, 1.1688397237031336, 1.1641139543376395, 1.1541360430739946, 1.1452731648465908, 1.1370039885249867, 1.1259824869470358, 1.1203102993068899, 1.1144171854018599, 1.1084532105603997, 1.0970306814545396, 1.0910730589330486, 1.0801619776277147, 1.0692718893557198, 1.0567570906597852, 1.047982659755091, 1.0409430035159748, 1.029196272048595, 1.0228536775659567, 1.0099278425147515, 1.00551184180247, 0.9975165476375334, 0.9850046494879522, 0.9753758026964361]","[0.7334169149398804, 0.7261951565742493, 0.719626784324646, 0.7106752395629883, 0.703441858291626, 0.6979434490203857, 0.690135657787323, 0.6839374303817749, 0.6766879558563232, 0.6712014079093933, 0.6657208204269409, 0.6373894810676575, 0.6506422758102417, 0.6444332599639893, 0.6389644742012024, 0.631133496761322, 0.6249675750732422, 0.6183969378471375, 0.6003625392913818, 0.593071699142456, 0.5622255802154541, 0.574666440486908, 0.5717483758926392, 0.5573327541351318, 0.5516514182090759, 0.5414139628410339, 0.5359834432601929, 0.5268117189407349, 0.5189291834831238]"
"[-0.9351709341704503, -0.9336616281085686, -0.9332849916433846, -0.9334280284384804, -0.9316958350702004, -0.9308134478696678, -0.9321303030021988, -0.9332029959599837, -0.9317822553438665, -0.9330018306015427, -0.9344887200803428, -0.9350625979810665, -0.9335565885753434, -0.9328919561816661, -0.9291846335528988, -0.925915412224909, -0.9226058272494781, -0.9210180644337141, -0.9129769560571499, -0.9092409842145956, -0.9060025319011268, -0.9039254220019473, -0.9001671455077351, -0.8951337033737277, -0.8924801819149184, -0.8918870089554374, -0.8846818510123325]","[-0.942114160443062, -0.9333055766409006, -0.9367432403105116, -0.928516673330013, -0.9285669899001746, -0.929617543179489, -0.9298712476658343, -0.9284744863182239, -0.9263957512562009, -0.9281006112387348, -0.9309826493073905, -0.9310613099482382, -0.9312114628562336, -0.9330948961242568, -0.9317871729519559, -0.931535963522112, -0.9329501730001631, -0.9317529826967087, -0.922840086346888, -0.9196251026576208, -0.9112739151010623, -0.9120206963264865, -0.9141092671837188, -0.9015493649778653, -0.9004039035254171, -0.9013117077173307, -0.8968187516373588, -0.8950248923203772, -0.8950367487520438]"
